ID,Country ,Keyword1 ,Keyword2,Keyword3,Attractions,Summary,weather
1,Singapore,Shopping,Sightseeing,Culture,"Marina bay sands,Clarke Quay,Gardens by the Bay,Singapore Zoo","Few thousand acres of evergreen rainforest,xcellent air transport facilities,Duty- free shopping and a variety of recreational attractions,Refurbished beachfront.",https://www.bbc.co.uk/weather
2,Dubai ,Shopping,Sightseeing,Beaches,"The dubai mall,The Dubai fountain,Burj Khalifa,Burj al Arab,Madinat Jumeirah,Ski Dubai,Dubai aquarium and underwater zoo ","Most popular city in the U.A.E,Located in the eastern part of the Arabian Peninsula on the coast of the Persian gulf,One of the most glamourous destinations to visit,Destination mixes modern culture with history, adventure with world class shopping and entertainment ",https://www.bbc.co.uk/weather
3,London,Shopping,Sightseeing,Culture,"London Eye,Madam Tussauds,Buckingham Palace,Tower of London",,https://www.bbc.co.uk/weather
4,Hong Kong ,Shopping,Adventures,Culture,"Victoria Peak,Wong tai Sin,Hong kong Disneyland,Lantau Island","Weather is warm and humid from February to April, winter is dry and cold.Its known as a ëshopping Meccaí,Diverse landscape. Mountainous national parks and forests.Renowned as the culinary capital of Asia",https://www.bbc.co.uk/weather
5,Rome ,Shopping,Sightseeing,Culture,"The Colosseum and the Arch of Constantine,Vatican City,The Pantheon,Roman Forum","Rome, is the capital city and a special comune of Italy. Rome also serves as the capital of the Lazio region. With 2,879,728 residents in 1,285 km², it is also the country's most populated comune. It is the third most populous city in the European Union by population within city limits.",https://www.bbc.co.uk/weather
6,Jaipur ,Shopping,Scenic Views,Culture,"Amber palace,City palace,Jantar mantar,Jal mahal","India is brimming with a rich cultural heritage.Jaipur is known as the Pink City and is also the capital of Rajasthan.Jaipur is a shoppers' elysium. You can find many different kinds of handicrafts, jewelry, fabrics and even carpets here.Jaipur represents the rich and vibrant lifestyle and tradition of Rajasthan",https://www.bbc.co.uk/weather
7,Rio de Janeiro,Adventurous,Sightseeing,Beaches,"Christ the redeemer,Copacabana,Tijuca National Park,Sugarloaf Mountain","Very tropical and warm, however gets cool breezes from the ocean and gets very cold in the winter.
Iconic tropical landscape of mountains and beaches.
Full of colourful festivals that take place throughout the year.",https://www.bbc.co.uk/weather
8,Petra ,Adventurous,Sightseeing,Culture,"The theatre,The treasury,The royal tombs,The Colonaded street","A historical city that dates back to 300BC,Full of history, it is a whole city which was built a very long time ago, we can still see how they lived through the buildings theyíve built.",https://www.bbc.co.uk/weather
9,Dubrovnik ,Adventurous,Scenic Views,Beaches,"The Old City Walls,Stradun of Dubrovnik,Dubrovnik Cathedral and Treasury,The City Gates","Dubrovnik is a city in southern Croatia fronting the Adriatic Sea. It's known for its distinctive Old Town, encircled with massive stone walls completed in the 16th century. Its well-preserved buildings range from baroque St. Blaise Church to Renaissance Sponza Palace and Gothic Rector’s Palace, now a history museum",https://www.bbc.co.uk/weather
10,Los Angeles ,Scenic views,Shopping,Beaches,"Griffith Observatory and Griffith Park, The Getty Centre, Santa Monica Pier and Beach, Hollywood Walk of Fame and TCL Chinese Theatre, Zuma Beach","Los Angeles is a sprawling Southern California city and the centre of the nation’s film and television industry. Near its iconic Hollywood sign, studios such as Paramount Pictures, Universal and Warner Brothers offer behind-the-scenes tours.",https://www.bbc.co.uk/weather
11,Santorini ,Shopping,Sightseeing,Beaches,"Kamari beach, Amoudi bay, Fira to oia hike, Ancient Thira, Winery tour, Red beach","Santorini is one of the Cyclades islands in the Aegean Sea. It was devastated by a volcanic eruption in the 16th century BC, forever shaping its rugged landscape.",https://www.bbc.co.uk/weather
12,Bora,Island,Sightseeing,Beaches,"Matira beach,Mount otemanu,Bora Bora Lagoonarium,Bora Bora turtle centre,Leapord rays trench ","Tahitis most famous island,An alluring destination.Overwater bungalows and lavish floating villas. Most bora bora resort hotels built on their own tiny island,A luxurious escape",https://www.bbc.co.uk/weather
13,Moscow ,Adventurous,Beaches,Culture,"Red Square, St basil’s Cathedral, Lennin’s Mausoleum, Moscow Kremlin, State historical museum.","Moscow, on the Moskva River in western Russia, is the nation’s cosmopolitan capital. In its historic core is the Kremlin, a complex that’s home to the president and tsarist treasures in the Armoury. Outside its walls is Red Square, Russia's symbolic center. It's home to Lenin’s Mausoleum, the State Historical Museum's comprehensive collection and St. Basil’s Cathedral, known for its colorful, onion-shaped domes.",https://www.bbc.co.uk/weather
14,Edinburgh ,Scenic views,Adventures,Wildlife,"Edinburgh Castle,Palace of Holyroodhouse and Holyrood Abbey,The Royal Mile,Climb to Arthur's Seat and the Salisbury Crags","Edinburgh is Scotland's compact, hilly capital. It has a medieval Old Town and elegant Georgian New Town with gardens and neoclassical buildings. Looming over the city is Edinburgh Castle, home to Scotland’s crown jewels and the Stone of Destiny, used in the coronation of Scottish rulers.",https://www.bbc.co.uk/weather
15,Paro Valley,Cuntryside,Scenic Views,Culture,"Taktsang Lhakhang or the Tiger’s Nest ,Chele La pass,Rinpung Dzong,Airport view point","Paro valley extends from the confluence of the Paro Chhu and the Wang Chhu rivers at Chuzom up to Mt. Jomolhari at the Tibetan border to the North. This picturesque region is one of the widest valleys in the kingdom and is covered in fertile rice fields and has a beautiful, crystalline river meandering down the valley",https://www.bbc.co.uk/weather
16,Vancouver ,Scenic views,Beaches,Culture,"Stanley Park, Granville Island, Grouse Mountain, Museum of Anthropology, Kitsilano Beach ","Vancouver, a bustling west coast seaport in British Columbia, is among Canada’s densest, most ethnically diverse cities. A popular filming location, it’s surrounded by mountains, and also has thriving art, theatre and music scenes.",https://www.bbc.co.uk/weather
17,Cape Town ,Adventurous,Scenic Views,Beaches,"Cape point and the flying dutchman funicular,Table mountain aerial cableway,V&A waterpoint,Robben Island museum,Blue flag beaches","Capital of south Africa,Endless natural beauty,Clifftop views,Pastel pink neighbourhoods and turquoise waters,Largest city of the western cape province,One of the most multicultural cities in the world,Located on the shore of table bay ",https://www.bbc.co.uk/weather
