Country ,Keyword1 ,Keyword2,Keyword3,Keyword4,Keyword5
Singapore,Shopping,Sightseeing,Multicultural,Festive,Diverse Food
Dubai ,Shopping,Sightseeing,Beaches,Desert,Modern
London,Shopping,Discover Art and Culture,Multicultural,Sightseeing,Historic Landmarks
Hong Kong ,Shopping,Diverse Food,Multicultural,Modern,National Parks
Rome ,Shopping,Natural Landscape ,Discover Art and Culture,Romantic,Historic Landmarks
Jaipur ,Shopping,Gardens,Religious Architecture,Discover Art and Culture,Historic Landmarks
Rio de Janeiro,Seaside,Sightseeing,Beaches,Festive,High Mountains
Petra ,Desert,Sightseeing,Religious Architecture,High mountains,Historic Landmarks
Dubrovnik ,Hiking,Seaside,Beaches,Adventurous,Historic Landmarks
Los Angeles ,Entertainment,Shopping,Beaches,Nation’s Film and Television Industry,Sightseeing
Santorini ,Hiking,Seaside,Beaches,High mountains,Traditional Architecture/Castles
Bora,Island,Seaside,Beaches,Romantic,High mountains
Moscow ,Gardens,Seaside,Discover Art and Culture,Religious Architecture,Historic Landmarks
Edinburgh ,Scenic views,Historical landmarks,Wildlife,High mountains,Castles
Paro Valley,Religious Architecture,Scenic Views,Museums,High mountains,National Parks
Vancouver ,Multicultural,Seaside,Museums,High mountains,Modern
Cape Town ,Natural Landscape,Scenic Views,Beaches,High mountains,Hiking
Waikato ,Natural Landscape,Hiking,Adventurous,Wildlife,National Parks
Mbombela,Natural Landscape,Gardens,Wildlife,Entertainment,National Parks
Maldives ,Natural Landscape,Seaside,Beaches,Religious Architecture,Island
Havana ,Busy,Religious Architecture,Discover Art and Culture,Museums,Historic Landmarks
Tokyo ,Shopping,Modern,Diverse Food,Discover Art and Culture,Historic Landmarks
New York ,Busy,Diverse Food,Museums,Multicultural,Scenic Views
Antarctica ,Adventurous,Volcano,Wildlife,Gardens,Cold
Paris ,Museums,Scenic Views,Diverse Food,Romantic,Historical Landmarks
Bali ,Island,Shopping,Beaches,Discover Art and Culture,Volcano
New Orleans ,Diverse Food,Multicultural,Historic Landmarks,Festive,Busy city
Kerry,Island,Seaside,Natural Landscape,Hiking,Scenic views
Marrakech,Discover Art and Culture,Historical Landmarks,Shopping,Religious Architecture,Gardens
Sydney ,Beaches,Wildlife,Scenic Views,Modern,Gardens
Barbados ,Beaches,Wildlife,National Parks,Historic Landmarks,Sightseeing
Amsterdam ,Museums,Modern,Cycle-friendly City,National Parks,Shopping
Santiago ,Hiking,Modern,Natural Landscape,Shopping,Discover Art and Culture
Cairo ,Modern,Romantic ,Museums,Historic Landmarks,Pyramids
Copenhagen ,Cycle-friendly City,Diverse Food,Gardens,Castles,Historic Landmarks
